,CEP,latitude,longitude,valor_total,contagem,bairro_dominante
325,41270360,-12.9777334,-38.501648,592.11,2,CAMPINAS DE PIRAJA
326,40255172,-12.9706713,-38.4943547,2611.43,7,MATATU
327,41610265,-12.9377622,-38.3658644,23033.92,16,ITAPUA
328,41200410,-12.957917,-38.4895094,1140.8700000000001,4,ENGOMADEIRA
329,41906055,-13.0081671,-38.4736571,2563.94,3,NORDESTE
330,40725650,-12.9777334,-38.501648,41118.38,44,PERIPERI
331,40450210,-12.9303107,-38.493205,26394.71,36,URUGUAI
332,40285870,-12.9777334,-38.501648,21589.09,10,BROTAS
333,41510550,-12.9777334,-38.501648,472.18,2,S CRISTOVAO
334,41194120,-12.9777334,-38.501648,24078.45,22,DORON
335,40230180,-12.9777334,-38.501648,5844.49,13,FEDERACAO
336,41720400,-12.9777334,-38.501648,19898.48,23,IMBUI
337,41180040,-12.9777334,-38.501648,2348.27,3,SABOEIRO
338,41250480,-12.9777334,-38.501648,63470.73,33,S MARCOS
339,40717638,-12.8901897,-38.4793742,563.92,5,PLATAFORMA
340,40285000,-12.9860645,-38.4938619,97060.25,100,BROTAS
341,40055060,-12.9777334,-38.501648,77.45,1,NAZARE
342,41510808,-12.907073,-38.3662875,13079.65,33,S CRISTOVAO
343,41204100,-12.9433817,-38.4688103,2175.94,1,ARRAIAL DO RETIRO
344,40355600,-12.9777334,-38.501648,20944.079999999998,29,FAZ GRANDE DO RETIRO
345,41710330,-12.9777334,-38.501648,38514.37,27,BOCA DO RIO
346,41245000,-12.9199772,-38.4374289,44456.67,56,PAU DA LIMA
347,40276150,-12.9777334,-38.501648,10107.99,8,CAMPINAS DE BROTAS
348,40450630,-12.9777334,-38.501648,6302.99,16,URUGUAI
349,40323380,-12.9777334,-38.501648,1598.94,3,IAPI
350,40050001,-12.9777334,-38.501648,41138.979999999996,25,NAZARE
351,41940080,-12.9777334,-38.501648,9156.789999999999,10,RIO VERMELHO
352,41810001,-12.9777334,-38.501648,197781.0,63,PITUBA
353,41253190,-12.9777334,-38.501648,116044.01,70,S MARCOS
354,40255020,-12.9777334,-38.501648,48415.57,36,MATATU
355,41830001,-12.9777334,-38.501648,164465.56,17,PITUBA
356,41320725,-12.9777334,-38.501648,278.52,3,CASTELO BRANCO
357,41630675,-12.9777334,-38.501648,3608.68,3,ITAPUA
358,41815200,-12.9777334,-38.501648,118273.11,13,ITAIGARA
359,40470121,-12.9777334,-38.501648,10641.34,10,LOBATO
360,40301200,-12.9777334,-38.501648,46100.17,34,BARBALHO
361,41110390,-12.9777334,-38.501648,19882.59,6,PERNAMBUES
362,40354225,-12.9480854,-38.4776439,2624.8599999999997,2,FAZ GRANDE DO RETIRO
363,40411366,-12.9461596,-38.5007659,3799.81,6,CALCADA
364,41710220,-12.9777334,-38.501648,1304.2,6,BOCA DO RIO
365,40394150,-12.9777334,-38.501648,52.25,1,CAPELINHA
366,41490200,-12.9777334,-38.501648,5390.34,10,MUSSURUNGA I
367,41620156,-12.9280805,-38.3580462,11627.48,1,ITAPUA
368,40365330,-12.9777334,-38.501648,12854.039999999999,20,CURUZU
369,41630320,-12.9777334,-38.501648,9729.199999999999,7,ITAPUA
370,41830590,-12.9777334,-38.501648,146705.5,57,PITUBA
371,40435875,-12.9296344,-38.494704,1073.81,1,MASSARANDUBA
372,41290624,-12.9777334,-38.501648,4261.14,5,PIRAJA
373,41310260,-12.9777334,-38.501648,64629.73,48,AGUAS CLARAS
374,40335240,-12.9777334,-38.501648,16292.44,22,PERO VAZ
375,40830160,-12.9777334,-38.501648,9546.43,7,PARIPE
376,41490340,-12.9777334,-38.501648,78178.2,46,MUSSURUNGA I
377,40470100,-12.9777334,-38.501648,28644.1,15,LOBATO
378,41336250,-12.9777334,-38.501648,1600.0,3,CAJAZEIRAS
379,40820790,-12.9777334,-38.501648,12106.85,12,PARIPE
380,41710350,-12.9777334,-38.501648,1643.4,5,BOCA DO RIO
381,41510192,-12.9141098,-38.3470315,3808.87,12,S CRISTOVAO
382,40060020,-12.9777334,-38.501648,42273.200000000004,19,DOIS DE JULHO
383,40810070,-12.9777334,-38.501648,50073.02,1,PARIPE
384,41630730,-12.9777334,-38.501648,11800.09,27,ITAPUA
385,40414120,-12.9777334,-38.501648,11055.34,20,BOA VIAGEM
386,40349045,-12.9359533,-38.4860264,39964.28,20,AT DO PERU
387,41412460,-12.9777334,-38.501648,8083.59,42,AREIA BRANCA
